age,gender,location_type,region,candidate,use_viber,education,income,early_voting
31-40,Мужской,Город,Минск,Против всех,False,Высшее,1000 - 2000 бел. руб.,Нет
31-40,Женский,Город,Брестская,Тихановская,True,Высшее,1000 - 2000 бел. руб.,Нет
старше 60,Женский,Город,Минск,Тихановская,False,Среднее специальное,До 500 бел. руб.,Нет
51-60,Мужской,Город,Минск,Против всех,False,Среднее специальное,500 - 1000 бел. руб.,Нет
51-60,Женский,Город,Минская,,False,Другое,Не хочу отвечать на этот вопрос,Нет
41-50,Мужской,Город,Минск,Тихановская,True,Высшее,1000 - 2000 бел. руб.,Нет
старше 60,Женский,Город,Минск,,False,Среднее специальное,До 500 бел. руб.,Нет
41-50,Женский,Город,Минская,,True,Высшее,Не хочу отвечать на этот вопрос,Нет
51-60,Мужской,Город,Минск,Тихановская,False,Высшее,500 - 1000 бел. руб.,Нет
старше 60,Женский,Город,Минск,Тихановская,False,Базовое / Среднее общее (школа),До 500 бел. руб.,Нет
старше 60,Женский,Город,Минск,Тихановская,True,Высшее,500 - 1000 бел. руб.,Нет
31-40,Мужской,Село,Брестская,,False,Базовое / Среднее общее (школа),500 - 1000 бел. руб.,Нет
41-50,Мужской,Город,Минск,Тихановская,False,Среднее специальное,500 - 1000 бел. руб.,Нет
старше 60,Мужской,Город,Минск,,False,Высшее,1000 - 2000 бел. руб.,Затрудняюсь ответить
41-50,Мужской,Село,Брестская,Тихановская,True,Базовое / Среднее общее (школа),1000 - 2000 бел. руб.,Нет
18-30,Женский,Город,Минская,Тихановская,True,Другое,Не хочу отвечать на этот вопрос,Нет
31-40,Женский,Город,Гомельская,,True,Профессионально-техническое,500 - 1000 бел. руб.,Да
41-50,Мужской,Город,Минская,,True,Профессионально-техническое,Не хочу отвечать на этот вопрос,Затрудняюсь ответить
41-50,Женский,Город,Витебская,Тихановская,True,Среднее специальное,500 - 1000 бел. руб.,Нет
18-30,Мужской,Город,Витебская,Тихановская,True,Высшее,500 - 1000 бел. руб.,Нет
31-40,Мужской,Село,Брестская,Лукашенко,False,Профессионально-техническое,До 500 бел. руб.,Да
51-60,Мужской,Город,Минск,Против всех,True,Среднее специальное,1000 - 2000 бел. руб.,Нет
41-50,Мужской,Город,Брестская,Тихановская,True,Высшее,До 500 бел. руб.,Нет
31-40,Мужской,Город,Брестская,Тихановская,True,Среднее специальное,500 - 1000 бел. руб.,Нет
51-60,Женский,Город,Гомельская,Тихановская,False,Среднее специальное,До 500 бел. руб.,Нет
31-40,Мужской,Город,Гродненская,Тихановская,True,Среднее специальное,500 - 1000 бел. руб.,Нет
41-50,Женский,Город,Минская,Тихановская,True,Другое,Не хочу отвечать на этот вопрос,Нет
41-50,Женский,Город,Гродненская,Лукашенко,True,Профессионально-техническое,1000 - 2000 бел. руб.,Да
старше 60,Мужской,Город,Брестская,Тихановская,True,Высшее,500 - 1000 бел. руб.,Нет
старше 60,Мужской,Село,Гродненская,Против всех,False,Высшее,1000 - 2000 бел. руб.,Нет
18-30,Мужской,Село,Гродненская,Тихановская,True,Высшее,1000 - 2000 бел. руб.,Нет
18-30,Женский,Город,Гродненская,Тихановская,True,Высшее,1000 - 2000 бел. руб.,Нет
41-50,Женский,Город,Гродненская,Тихановская,True,Среднее специальное,500 - 1000 бел. руб.,Нет
31-40,Женский,Село,Гродненская,Тихановская,True,Среднее специальное,500 - 1000 бел. руб.,Нет
51-60,Мужской,Село,Гродненская,Тихановская,True,Среднее специальное,1000 - 2000 бел. руб.,Нет
31-40,Мужской,Город,Брестская,Тихановская,True,Базовое / Среднее общее (школа),1000 - 2000 бел. руб.,Нет
51-60,Мужской,Город,Брестская,Тихановская,False,Среднее специальное,500 - 1000 бел. руб.,Нет
31-40,Женский,Город,Брестская,Тихановская,True,Среднее специальное,500 - 1000 бел. руб.,Нет
18-30,Женский,Город,Гомельская,Тихановская,True,Высшее,До 500 бел. руб.,Нет
31-40,Женский,Город,Гомельская,Тихановская,True,Среднее специальное,Не хочу отвечать на этот вопрос,Нет
41-50,Женский,Город,Гомельская,,False,Среднее специальное,500 - 1000 бел. руб.,Затрудняюсь ответить
31-40,Женский,Город,Гомельская,,True,Высшее,Не хочу отвечать на этот вопрос,Нет
31-40,Мужской,Город,Гомельская,Тихановская,True,Профессионально-техническое,500 - 1000 бел. руб.,Да
41-50,Женский,Город,Гомельская,Тихановская,True,Высшее,500 - 1000 бел. руб.,Нет
41-50,Женский,Город,Гомельская,Тихановская,True,Среднее специальное,500 - 1000 бел. руб.,Нет
41-50,Женский,Город,Гомельская,Тихановская,True,Базовое / Среднее общее (школа),500 - 1000 бел. руб.,Нет
