Timestamp,Вы из этого населенного пункта? (указываем название нас пункта),"Скажите, пожалуйста, какой у Вас возраст",Укажите пол,Пойдёте ли на президентские выборы?,Будете голосовать досрочно?,За кого планируете голосовать/проголосовали?,Ваш уровень образования?,"Сообщите, пожалуйста, совокупный месячный доход Вашей семьи в бел.руб.",Какими инструментами коммуникации Вы пользуетесь?,Код волонтёра ,Произвольный комментарий волонтера,тип нп,регион
8/4/2020 15:42:25,Брест,51-60,Жен,Да,Нет,Дмитриев,Высшее,500 - 1000,"Телевидение, Viber, Telegram, Одноклассники, Youtube",65,"Говорит, что не дадут Светлане сделать выборы, что прикорытники очень сильны в своей жадности и невежестве",город,1
8/4/2020 15:45:21,Минск,старше 60,Жен,Да,Нет,Против всех,Высшее,1000 - 2000,"Телевидение, Viber, Одноклассники, Youtube",65,"Не верит, что Светлана выполнит обещания. Тихановская хорошая, но ей будут манипулировать",город,7
8/4/2020 15:49:10,Солигорск ,31-40,Муж,Да,Нет,Тихановская,Среднее специальное,500 - 1000,"Радио, Телевидение, Viber, Вконтакте, Youtube",80,Солигорск 04 Августа 15 :49,город,5
8/4/2020 15:50:48,"Жабинка, район",41-50,Муж,Затрудняюсь ответить,Нет,Тихановская,Высшее,500 - 1000,"Viber, Telegram, Одноклассники, Вконтакте, Youtube",65,"Он боится выходить на улицу, не хочет в тюрьму. Но за перемены, за нового Президента. Трус, короче. Но думает правильно, продвинутый",село,1
8/4/2020 15:51:13,Солигорск ,31-40,Жен,Да,Нет,Тихановская,Высшее,500 - 1000,"Телевидение, Viber, Одноклассники, Вконтакте",80,Солигорск 04Августа 15 :51,город,5
8/4/2020 15:53:12,Минск,31-40,Муж,Да,Нет,Против всех,Высшее,Не хочу отвечать на этот вопрос,"Бумажная пресса, Viber, Telegram, Youtube",53,Гл.инженер,город,7
8/4/2020 15:58:29,Минск,18-30,Муж,Да,Нет,Тихановская,Среднее специальное,500 - 1000,"Viber, Telegram, Вконтакте",53,,город,7
8/4/2020 15:59:08,Минск,18-30,Муж,Да,Нет,Тихановская,Среднее специальное,500 - 1000,"Viber, Telegram, Youtube",53,,город,7
8/4/2020 16:00:08,Червень,старше 60,Жен,Затрудняюсь ответить,Нет,Тихановская,Профессионально-техническое,1000 - 2000,"Телевидение, Бумажная пресса",53,,город,5
8/4/2020 16:00:50,Солигорск ,41-50,Муж,Нет,,Не пойду,Другое \ не хочу отвечать,Не хочу отвечать на этот вопрос,"Телевидение, Бумажная пресса",80,Солигорск 04Августа 16:00,город,5
8/4/2020 16:02:16,Минск,41-50,Жен,Да,Нет,Тихановская,Высшее,выше 2000,"Viber, Telegram, Вконтакте",53,,город,7
8/4/2020 16:04:52,Минск,41-50,Жен,Да,Нет,Затрудняюсь ответить,Среднее специальное,500 - 1000,"Телевидение, Viber, Одноклассники",53,,город,7
8/4/2020 16:11:43,Минск,31-40,Муж,Да,Нет,Против всех,Высшее,1000 - 2000,"Telegram, Youtube",53,,город,7
8/4/2020 16:14:12,Жабинка,31-40,Жен,Да,Нет,Тихановская,Высшее,1000 - 2000,"Телевидение, Viber, Одноклассники, Вконтакте, Youtube, WhatsApp ",65,Живой человек,город,1
8/4/2020 16:14:43,Минск,старше 60,Жен,Да,Нет,Тихановская,Среднее специальное,До 500,Общение,53,,город,7
8/4/2020 16:18:43,Минск,51-60,Муж,Да,Нет,Против всех,Среднее специальное,500 - 1000,Ничего не смотрю,53,,город,7
8/4/2020 16:18:57,Солигорск ,51-60,Жен,Да,Нет,Затрудняюсь ответить,Другое \ не хочу отвечать,Не хочу отвечать на этот вопрос,"Телевидение, Одноклассники, Вконтакте",80,Солигорск 04Августа 16 :18,город,5
8/4/2020 16:20:00,Минск,31-40,Муж,Нет,,Не пойду,Высшее,1000 - 2000,"Viber, Telegram",53,,город,7
8/4/2020 16:21:36,Минск,41-50,Муж,Да,Нет,Тихановская,Высшее,1000 - 2000,"Viber, Telegram, Youtube",53,,город,7
8/4/2020 16:23:10,Минск,старше 60,Жен,Да,Нет,Затрудняюсь ответить,Среднее специальное,До 500,"Радио, Телевидение, Бумажная пресса",53,,город,7
8/4/2020 16:41:40,Солигорск ,41-50,Жен,Да,Нет,Затрудняюсь ответить,Высшее,Не хочу отвечать на этот вопрос,"Телевидение, Viber, Одноклассники, Вконтакте",80,Солигорск 04Августа 16 :41,город,5
8/4/2020 16:54:30,Минск,51-60,Муж,Да,Нет,Тихановская,Высшее,500 - 1000,"Телевидение, Бумажная пресса, Беседы с друзьями, детьми, соседями",56,,город,7
8/4/2020 16:57:31,Минск,старше 60,Жен,Да,Нет,Тихановская,Базовое \ Среднее,До 500,"Телевидение, Беседы с людьми",56,,город,7
8/4/2020 17:00:43,Минск,старше 60,Жен,Затрудняюсь ответить,Нет,Тихановская,Высшее,500 - 1000,"Телевидение, Viber, Youtube, Разговоры, рассказы людей",56,,город,7
8/4/2020 17:03:24,"д. Требует, Брестский район",31-40,Муж,Да,Нет,Затрудняюсь ответить,Базовое \ Среднее,500 - 1000,"Радио, Телевидение",29,,село,1
8/4/2020 17:03:30,Минск,41-50,Муж,Да,Нет,Тихановская,Среднее специальное,500 - 1000,Интернет,56,,город,7
8/4/2020 17:06:15,Минск,старше 60,Муж,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Высшее,1000 - 2000,"Телевидение, Разговоры",56,,город,7
8/4/2020 17:07:41,"д.Клейники, Брестский район.",41-50,Муж,Да,Нет,Тихановская,Базовое \ Среднее,1000 - 2000,"Viber, Youtube",29,,село,1
8/4/2020 17:09:13,Солигорск ,18-30,Жен,Да,Нет,Тихановская,Другое \ не хочу отвечать,Не хочу отвечать на этот вопрос,"Viber, Telegram, Вконтакте, Youtube",80,Солигорск 04Августа 17:09,город,5
8/4/2020 17:37:18,Витебск,31-40,Жен,Да,Да,Затрудняюсь ответить,Профессионально-техническое,500 - 1000,"Телевидение, Бумажная пресса, Viber, Одноклассники",4,"За кого-нибудь помоложе, но не за АГЛ",город,3
8/4/2020 17:40:17,Солигорск ,41-50,Муж,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Профессионально-техническое,Не хочу отвечать на этот вопрос,"Телевидение, Viber, Одноклассники, Вконтакте, Youtube",80,Солигорск 04Августа 17 :40,город,5
8/4/2020 17:51:22,Да,41-50,Жен,Да,Нет,Тихановская,Среднее специальное,500 - 1000,"Viber, Одноклассники, Вконтакте, Youtube",1,,город,2
8/4/2020 17:52:57,Витебск ,18-30,Муж,Да,Нет,Тихановская,Высшее,500 - 1000,"Viber, Telegram, Вконтакте, Youtube",4,"
Юрист",город,2
8/4/2020 17:58:55,"Жабинка, район",31-40,Муж,Да,Да,Лукашенко,Профессионально-техническое,До 500,"Телевидение, Одноклассники, Youtube",65,"Это агрессивный сельский житель, боится, что будет как в Украине, с Зеленским ничего не получается",село,1
8/4/2020 17:59:46,Минск,51-60,Муж,Да,Нет,Против всех,Среднее специальное,1000 - 2000,"Телевидение, Бумажная пресса, Viber",53,,город,7
8/4/2020 18:04:15,Жабинка,41-50,Муж,Да,Нет,Тихановская,Высшее,До 500,"Телевидение, Viber, Telegram, Вконтакте, Youtube, WhatsApp ",65,Активная гражданская позиция. Молодец,город,1
8/4/2020 18:10:44,Жабинка,31-40,Муж,Да,Нет,Тихановская,Среднее специальное,500 - 1000,"Viber, Telegram, Одноклассники, Вконтакте, Youtube, WhatsApp ",65,Активная гражданская позиция. Идёт 10 на площадь,город,1
8/4/2020 18:12:17,Речица ,51-60,Жен,Да,Нет,Тихановская,Среднее специальное,До 500,"Телевидение, Бумажная пресса, Youtube",69,,город,3
8/4/2020 18:22:31,Новогрудок,31-40,Муж,Да,Нет,Тихановская,Среднее специальное,500 - 1000,"Радио, Телевидение, Viber, Вконтакте, Youtube",76,,город,4
8/4/2020 18:22:35,Солигорск ,41-50,Жен,Да,Нет,Тихановская,Другое \ не хочу отвечать,Не хочу отвечать на этот вопрос,"Телевидение, Viber, Вконтакте, Youtube",80,Солигорск 04Августа 18:20(с15:00до18:00 отказалось 29 человек) ,город,5
8/4/2020 18:23:46,Новогрудок,41-50,Жен,Да,Да,Лукашенко,Профессионально-техническое,1000 - 2000,"Радио, Телевидение, Viber, Одноклассники, Вконтакте, Youtube",76,,город,4
8/4/2020 18:24:33,Жабинка,старше 60,Муж,Да,Нет,Тихановская,Высшее,500 - 1000,"Радио, Телевидение, Бумажная пресса, Viber, Telegram, Одноклассники, Вконтакте, Youtube, WhatsApp ",65,"Гражданская позиция определённая. Решили вместе, что голос отдаём за Тихановскую, подполковник, на пенсии",город,1
8/4/2020 18:24:47,Новогрудок,старше 60,Жен,Нет,,Не пойду,Среднее специальное,До 500,"Телевидение, Бумажная пресса",76,,город,4
