region,location_type,gernder,age,education,count
Витебская,Город,Женский,41-50,Среднее специальное,32802
Витебская,Город,Женский,41-50,Профессионально-техническое,9605
Витебская,Город,Женский,41-50,Базовое / Среднее общее (школа),12333
Витебская,Город,Женский,41-50,Другое,166
Витебская,Город,Женский,51-60,Высшее,15415
Витебская,Город,Женский,51-60,Среднее специальное,29866
Витебская,Город,Женский,51-60,Профессионально-техническое,9040
Витебская,Город,Женский,51-60,Базовое / Среднее общее (школа),18094
Витебская,Город,Женский,51-60,Другое,339
Витебская,Город,Женский,старше 60,Высшее,12843
Витебская,Город,Женский,старше 60,Среднее специальное,22527
Витебская,Город,Женский,старше 60,Профессионально-техническое,5840
Витебская,Город,Женский,старше 60,Базовое / Среднее общее (школа),34854
Витебская,Город,Женский,старше 60,Другое,19944
Витебская,Село,Мужской,18-30,Высшее,1645
Витебская,Село,Мужской,18-30,Среднее специальное,5843
Витебская,Село,Мужской,18-30,Профессионально-техническое,6495
Витебская,Село,Мужской,18-30,Базовое / Среднее общее (школа),11796
Витебская,Село,Мужской,18-30,Другое,508
Витебская,Село,Мужской,31-40,Высшее,1381
Витебская,Село,Мужской,31-40,Среднее специальное,4542
Витебская,Село,Мужской,31-40,Профессионально-техническое,4952
Витебская,Село,Мужской,31-40,Базовое / Среднее общее (школа),9193
Витебская,Село,Мужской,31-40,Другое,422
Витебская,Село,Мужской,41-50,Высшее,2459
Витебская,Село,Мужской,41-50,Среднее специальное,6530
Витебская,Село,Мужской,41-50,Профессионально-техническое,7221
Витебская,Село,Мужской,41-50,Базовое / Среднее общее (школа),11559
Витебская,Село,Мужской,41-50,Другое,409
Витебская,Село,Мужской,51-60,Высшее,2739
Витебская,Село,Мужской,51-60,Среднее специальное,4886
Витебская,Село,Мужской,51-60,Профессионально-техническое,4902
Витебская,Село,Мужской,51-60,Базовое / Среднее общее (школа),11413
Витебская,Село,Мужской,51-60,Другое,662
Витебская,Село,Мужской,старше 60,Высшее,2293
Витебская,Село,Мужской,старше 60,Среднее специальное,2953
Витебская,Село,Мужской,старше 60,Профессионально-техническое,2157
Витебская,Село,Мужской,старше 60,Базовое / Среднее общее (школа),10952
Витебская,Село,Мужской,старше 60,Другое,11643
Витебская,Село,Женский,18-30,Высшее,2156
Витебская,Село,Женский,18-30,Среднее специальное,6179
Витебская,Село,Женский,18-30,Профессионально-техническое,3606
Витебская,Село,Женский,18-30,Базовое / Среднее общее (школа),8452
Витебская,Село,Женский,18-30,Другое,307
Витебская,Село,Женский,31-40,Высшее,2286
Витебская,Село,Женский,31-40,Среднее специальное,6768
Витебская,Село,Женский,31-40,Профессионально-техническое,3303
Витебская,Село,Женский,31-40,Базовое / Среднее общее (школа),6465
Витебская,Село,Женский,31-40,Другое,224
Витебская,Село,Женский,41-50,Высшее,3481
Витебская,Село,Женский,41-50,Среднее специальное,9919
Витебская,Село,Женский,41-50,Профессионально-техническое,3752
